"Time.Range","Vessel.ID","Flag","Vessel.Name","Entry.Timestamp","Exit.Timestamp","Gear.Type","Vessel.Type","MMSI","IMO","CallSign","First.Transmission.Date","Last.Transmission.Date","Apparent.Fishing.Hours","month","quarter","id"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,4.44,1,"1","13G0"
"2021-02","0474f132b-bef3-7a95-4871-5a4cca576cc3","ITA","ONDAMARINA",2021-01-04 01:00:00,2021-12-29 14:00:00,"TRAWLERS","FISHING",247041470,NA,"INHW",2017-06-27 11:23:33,2025-05-19 16:45:04,13.25,2,"1","13G0"
"2021-02","7485509a5-5caf-a8e8-9c6c-5fee55de0c70","ITA","SGIUSEPPE",2021-01-04 05:00:00,2021-12-30 12:00:00,"TRAWLERS","FISHING",247045180,NA,"IKDO",2014-05-29 04:02:34,2025-05-16 14:00:21,20.23,2,"1","17F9"
"2021-01","f58199c94-4e49-1a3b-3078-bfd3733b6ab2","ITA","ALBACHIARA",2021-01-04 01:00:00,2021-12-30 15:00:00,"TRAWLERS","FISHING",247065740,NA,"IVHU",2014-05-05 22:42:01,2025-05-19 13:06:56,43.74,1,"1","14G0"
"2021-02","72c6c4de9-9f7c-92c8-9bd0-64f0777105bb","ITA","MP CLAUDIO PADRE",2021-01-04 06:00:00,2021-12-30 12:00:00,"TRAWLERS","FISHING",247123920,NA,"IPFT",2019-08-07 07:56:24,2025-05-02 11:17:54,12.43,2,"1","12G2"
"2021-01","fd7b02175-538c-125e-7d04-399cdce31466","ITA","MARE BLU",2021-01-04 02:00:00,2021-12-30 15:00:00,"TRAWLERS","FISHING",247065080,NA,NA,2013-06-24 00:40:18,2024-08-16 10:02:30,0.82,1,"1","14G0"
"2021-02","48618b95b-bf82-cb38-6fd1-a72d11c618ae","ITA","STELLA MADRE",2021-01-07 05:00:00,2021-09-02 12:00:00,"TRAWLERS","FISHING",247096450,NA,"IJJL",2016-03-21 01:16:47,2021-09-09 06:25:08,37.63,2,"1","11G2"
"2021-01","be5c6b579-9cb0-e419-057f-c03c6ae6572c","ITA","DOLENTE LUCA",2021-01-04 05:00:00,2021-12-28 13:00:00,"TRAWLERS","FISHING",247092780,NA,"ITVK",2013-04-21 22:24:26,2025-05-19 23:59:19,8.2,1,"1","12G1"
"2021-02","e5a924ae4-480e-17ab-721c-f0f5c7797b31","ITA","GIORGIA",2021-01-04 02:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247066190,NA,NA,2014-04-07 00:24:27,2025-05-19 14:56:32,1.51,2,"1","14G0"
"2021-02","e5a924ae4-480e-17ab-721c-f0f5c7797b31","ITA","GIORGIA",2021-01-04 02:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247066190,NA,NA,2014-04-07 00:24:27,2025-05-19 14:56:32,11.96,2,"1","14G0"
"2021-02","222742da8-8903-90ce-4122-8c849cbf1e64","ITA","GUERRIERO",2021-01-04 04:00:00,2021-12-30 13:00:00,"TRAWLERS","FISHING",247068780,NA,"ISQV",2017-07-09 21:13:37,2025-05-19 23:59:55,20.21,2,"1","12G2"
"2021-01","323df2ecf-fac7-3922-1eee-b68ffcb4c969","ITA","MP/ACQUARIO",2021-01-04 05:00:00,2021-12-30 15:00:00,"TRAWLERS","FISHING",247044910,NA,"IJTH",2014-09-18 03:14:13,2025-05-16 15:29:47,1.93,1,"1","17F9"
"2021-01","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II",2021-01-04,2021-12-30 10:00:00,"TRAWLERS","FISHING",247065720,NA,"IQON",2013-06-05 20:08:53,2025-05-19 23:54:12,14.5,1,"1","14F9"
"2021-01","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II",2021-01-04,2021-12-30 10:00:00,"TRAWLERS","FISHING",247065720,NA,"IQON",2013-06-05 20:08:53,2025-05-19 23:54:12,14.5,1,"1","14G0"
"2021-01","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II",2021-01-04,2021-12-30 10:00:00,"TRAWLERS","FISHING",247065720,NA,"IQON",2013-06-05 20:08:53,2025-05-19 23:54:12,14.5,1,"1","15F9"
"2021-01","184cc0102-2777-f1db-d4ca-6cf64d4ccf88","ITA","NETTUNO II",2021-01-04,2021-12-30 10:00:00,"TRAWLERS","FISHING",247065720,NA,"IQON",2013-06-05 20:08:53,2025-05-19 23:54:12,14.5,1,"1","15G0"
"2021-02","ec8d85e7d-d923-f0ca-7b0c-5075449c873c","ITA","JAZZ",2021-01-13 04:00:00,2021-12-30 18:00:00,"TRAWLERS","FISHING",247200190,NA,"IFHQ2",2018-08-06 02:28:14,2023-09-29 21:00:11,40.29,2,"1","17F9"
"2021-01","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.",2021-01-04 04:00:00,2021-12-29 13:00:00,"TRAWLERS","FISHING",247093030,NA,"IFUI",2013-05-19 10:19:32,2025-05-19 23:59:44,1,1,"1","12G2"
"2021-01","eb2adaf39-9fe1-1494-3b0f-1b66c7dcd201","ITA","CITTA DI VIAREGGIO",2021-01-03 06:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247067610,NA,NA,2012-07-01 22:26:02,2025-05-19 23:56:47,7.11,1,"1","14G0"
"2021-02","73d7fe686-60e8-5f88-46ea-297019cbf214","ITA","NIAGARA",2021-01-13 04:00:00,2021-12-07 14:00:00,"TRAWLERS","FISHING",247322660,NA,"IMUV2",2016-03-16 06:33:42,2024-12-27 22:32:45,4.71,2,"1","16F9"
"2021-01","4af3adc4d-dbfd-21b7-7712-8a46ea05be6c","ITA","ANGELO PADRE II",2021-01-04 04:00:00,2021-03-29 09:00:00,"TRAWLERS","FISHING",247091080,NA,"IFMX",2013-08-23 15:20:47,2021-04-17 11:54:57,4.56,1,"1","11G2"
"2021-01","4f229e638-8722-41e9-5368-efce12332124","ITA","IRENE",2021-01-04 07:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247123990,NA,NA,2020-06-22 01:26:25,2025-05-16 03:54:45,20.53,1,"1","17F9"
"2021-01","eb2adaf39-9fe1-1494-3b0f-1b66c7dcd201","ITA","CITTA DI VIAREGGIO",2021-01-03 06:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247067610,NA,NA,2012-07-01 22:26:02,2025-05-19 23:56:47,3.05,1,"1","13G0"
"2021-02","ce8a831f4-4a0c-07ab-bd47-41342088ed6d","ITA","ANASTASIA",2021-01-04,2021-12-29 11:00:00,"TRAWLERS","FISHING",247066860,NA,"IRAV",2013-05-22 16:53:29,2025-05-16 12:28:48,6.85,2,"1","15G0"
"2021-02","ce8a831f4-4a0c-07ab-bd47-41342088ed6d","ITA","ANASTASIA",2021-01-04,2021-12-29 11:00:00,"TRAWLERS","FISHING",247066860,NA,"IRAV",2013-05-22 16:53:29,2025-05-16 12:28:48,4.11,2,"1","15G0"
"2021-01","eb2adaf39-9fe1-1494-3b0f-1b66c7dcd201","ITA","CITTA DI VIAREGGIO",2021-01-03 06:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247067610,NA,NA,2012-07-01 22:26:02,2025-05-19 23:56:47,26.78,1,"1","13G0"
"2021-02","e5fd8e9da-a2ca-6912-cb99-41a7fa8b1dbe","ITA","P.D`ERCOLE",2021-01-04 06:00:00,2021-12-30 17:00:00,"TRAWLERS","FISHING",247204460,NA,"IFUE",2013-05-29 19:11:39,2025-05-19 18:52:12,51.62,2,"1","17F8"
"2021-02","e5fd8e9da-a2ca-6912-cb99-41a7fa8b1dbe","ITA","P.D`ERCOLE",2021-01-04 06:00:00,2021-12-30 17:00:00,"TRAWLERS","FISHING",247204460,NA,"IFUE",2013-05-29 19:11:39,2025-05-19 18:52:12,5.49,2,"1","17F8"
"2021-01","cd9d39ddf-fddd-1166-7dbc-501cf38f5991","ITA","MARIA",2021-01-04 05:00:00,2021-12-28 11:00:00,"TRAWLERS","FISHING",247093060,NA,"IRRH",2013-05-31 11:14:37,2025-05-19 14:45:17,1.09,1,"1","12G1"
"2021-01","4af3adc4d-dbfd-21b7-7712-8a46ea05be6c","ITA","ANGELO PADRE II",2021-01-04 04:00:00,2021-03-29 09:00:00,"TRAWLERS","FISHING",247091080,NA,"IFMX",2013-08-23 15:20:47,2021-04-17 11:54:57,0.45,1,"1","11G2"
"2021-02","eb2adaf39-9fe1-1494-3b0f-1b66c7dcd201","ITA","CITTA DI VIAREGGIO",2021-01-03 06:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247067610,NA,NA,2012-07-01 22:26:02,2025-05-19 23:56:47,3.49,2,"1","13G1"
"2021-02","eb2adaf39-9fe1-1494-3b0f-1b66c7dcd201","ITA","CITTA DI VIAREGGIO",2021-01-03 06:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247067610,NA,NA,2012-07-01 22:26:02,2025-05-19 23:56:47,5.46,2,"1","14G0"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,3.39,1,"1","14G0"
"2021-01","da807a497-716f-a219-77b0-a13a671d0dea","ITA","LEONE MARCO",2021-01-08 03:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247099830,NA,"IPLN",2013-04-25 02:01:19,2025-05-19 13:55:24,7.97,1,"1","12G1"
"2021-02","4179aae2c-cb13-cef7-5084-1e2a15725ef7","ITA","ARCOBALENO",2021-01-04 05:00:00,2021-12-30 13:00:00,"TRAWLERS","FISHING",247096440,NA,"IFXA",2013-02-14 02:10:19,2025-05-19 14:12:48,6.65,2,"1","12G2"
"2021-01","e4d4ca9ba-ac5f-33b2-a3f4-ff20dc9631c9","ITA","LIDA ASSUNTA",2021-01-04 03:00:00,2021-12-30 12:00:00,"TRAWLERS","FISHING",247094280,NA,"IPJA",2013-05-30 04:56:24,2025-05-19 15:04:45,12.77,1,"1","13G1"
"2021-01","ec8d85e7d-d923-f0ca-7b0c-5075449c873c","ITA","JAZZ",2021-01-13 04:00:00,2021-12-30 18:00:00,"TRAWLERS","FISHING",247200190,NA,"IFHQ2",2018-08-06 02:28:14,2023-09-29 21:00:11,0.99,1,"1","17F9"
"2021-02","4f229e638-8722-41e9-5368-efce12332124","ITA","IRENE",2021-01-04 07:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247123990,NA,NA,2020-06-22 01:26:25,2025-05-16 03:54:45,0.95,2,"1","17F9"
"2021-01","da807a497-716f-a219-77b0-a13a671d0dea","ITA","LEONE MARCO",2021-01-08 03:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247099830,NA,"IPLN",2013-04-25 02:01:19,2025-05-19 13:55:24,4.5,1,"1","13G1"
"2021-01","4af3adc4d-dbfd-21b7-7712-8a46ea05be6c","ITA","ANGELO PADRE II",2021-01-04 04:00:00,2021-03-29 09:00:00,"TRAWLERS","FISHING",247091080,NA,"IFMX",2013-08-23 15:20:47,2021-04-17 11:54:57,12.91,1,"1","11G2"
"2021-01","4af3adc4d-dbfd-21b7-7712-8a46ea05be6c","ITA","ANGELO PADRE II",2021-01-04 04:00:00,2021-03-29 09:00:00,"TRAWLERS","FISHING",247091080,NA,"IFMX",2013-08-23 15:20:47,2021-04-17 11:54:57,0.55,1,"1","11G2"
"2021-01","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.",2021-01-04 04:00:00,2021-12-29 13:00:00,"TRAWLERS","FISHING",247093030,NA,"IFUI",2013-05-19 10:19:32,2025-05-19 23:59:44,3,1,"1","12G2"
"2021-02","da807a497-716f-a219-77b0-a13a671d0dea","ITA","LEONE MARCO",2021-01-08 03:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247099830,NA,"IPLN",2013-04-25 02:01:19,2025-05-19 13:55:24,29.43,2,"1","12G1"
"2021-02","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,0.52,2,"1","14G0"
"2021-02","73d7fe686-60e8-5f88-46ea-297019cbf214","ITA","NIAGARA",2021-01-13 04:00:00,2021-12-07 14:00:00,"TRAWLERS","FISHING",247322660,NA,"IMUV2",2016-03-16 06:33:42,2024-12-27 22:32:45,0.97,2,"1","16F9"
"2021-01","eb2adaf39-9fe1-1494-3b0f-1b66c7dcd201","ITA","CITTA DI VIAREGGIO",2021-01-03 06:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247067610,NA,NA,2012-07-01 22:26:02,2025-05-19 23:56:47,5.58,1,"1","14G0"
"2021-01","eb2adaf39-9fe1-1494-3b0f-1b66c7dcd201","ITA","CITTA DI VIAREGGIO",2021-01-03 06:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247067610,NA,NA,2012-07-01 22:26:02,2025-05-19 23:56:47,15.96,1,"1","14G0"
"2021-01","eb2adaf39-9fe1-1494-3b0f-1b66c7dcd201","ITA","CITTA DI VIAREGGIO",2021-01-03 06:00:00,2021-12-30 10:00:00,"TRAWLERS","FISHING",247067610,NA,NA,2012-07-01 22:26:02,2025-05-19 23:56:47,8.51,1,"1","14G0"
"2021-02","ce8a831f4-4a0c-07ab-bd47-41342088ed6d","ITA","ANASTASIA",2021-01-04,2021-12-29 11:00:00,"TRAWLERS","FISHING",247066860,NA,"IRAV",2013-05-22 16:53:29,2025-05-16 12:28:48,12.01,2,"1","14G0"
"2021-01","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.",2021-01-04 04:00:00,2021-12-29 13:00:00,"TRAWLERS","FISHING",247093030,NA,"IFUI",2013-05-19 10:19:32,2025-05-19 23:59:44,1,1,"1","12G1"
"2021-01","243942918-83f7-ad86-4a56-e4954dc2f210","ITA","S.VINCENZO",2021-01-04 05:00:00,2021-12-30 08:00:00,"TRAWLERS","FISHING",247092920,NA,"IPBA",2013-04-21 22:38:02,2024-01-12 12:01:38,65.35,1,"1","12G2"
"2021-01","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.",2021-01-04 04:00:00,2021-12-29 13:00:00,"TRAWLERS","FISHING",247093030,NA,"IFUI",2013-05-19 10:19:32,2025-05-19 23:59:44,0.98,1,"1","12G2"
"2021-02","ce8a831f4-4a0c-07ab-bd47-41342088ed6d","ITA","ANASTASIA",2021-01-04,2021-12-29 11:00:00,"TRAWLERS","FISHING",247066860,NA,"IRAV",2013-05-22 16:53:29,2025-05-16 12:28:48,0.44,2,"1","15G0"
"2021-02","ce8a831f4-4a0c-07ab-bd47-41342088ed6d","ITA","ANASTASIA",2021-01-04,2021-12-29 11:00:00,"TRAWLERS","FISHING",247066860,NA,"IRAV",2013-05-22 16:53:29,2025-05-16 12:28:48,6.63,2,"1","15G0"
"2021-01","478b14262-2ad1-7a58-fa40-5e9984d6abae","ITA","MARIANNA",2021-01-04 04:00:00,2021-12-29 14:00:00,"TRAWLERS","FISHING",247093010,NA,"IWPS",2013-03-20 00:12:19,2025-05-19 23:59:29,36.59,1,"1","12G2"
"2021-02","eb9daf877-749a-6f4a-1804-4d1dfcaaac94","ITA","STELLA ROSSA",2021-01-07 01:00:00,2021-12-30 13:00:00,"TRAWLERS","FISHING",247090850,NA,"IUCQ",2013-05-27 10:47:43,2024-01-24 07:55:38,55.08,2,"1","11G2"
"2021-02","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,1.71,2,"1","14G1"
"2021-02","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,20.02,2,"1","13G0"
"2021-02","e4d4ca9ba-ac5f-33b2-a3f4-ff20dc9631c9","ITA","LIDA ASSUNTA",2021-01-04 03:00:00,2021-12-30 12:00:00,"TRAWLERS","FISHING",247094280,NA,"IPJA",2013-05-30 04:56:24,2025-05-19 15:04:45,10.57,2,"1","12G1"
"2021-01","2de3cda92-2405-3349-8ad5-0ef180e81e1a","ITA","LIBERA",2021-01-04 04:00:00,2021-12-29 15:00:00,"TRAWLERS","FISHING",247096930,NA,"IRMM",2013-02-18 02:16:45,2025-05-19 23:58:29,2.06,1,"1","12G1"
"2021-01","6e02474b2-2fba-078a-8132-10e3ad77914f","ITA","MP LEDO",2021-01-07 11:00:00,2021-12-30 15:00:00,"TRAWLERS","FISHING",247222320,NA,NA,2012-05-17 19:22:30,2025-05-19 10:28:55,2.12,1,"1","13G1"
"2021-02","cd9d39ddf-fddd-1166-7dbc-501cf38f5991","ITA","MARIA",2021-01-04 05:00:00,2021-12-28 11:00:00,"TRAWLERS","FISHING",247093060,NA,"IRRH",2013-05-31 11:14:37,2025-05-19 14:45:17,0.83,2,"1","12G2"
"2021-02","be5c6b579-9cb0-e419-057f-c03c6ae6572c","ITA","DOLENTE LUCA",2021-01-04 05:00:00,2021-12-28 13:00:00,"TRAWLERS","FISHING",247092780,NA,"ITVK",2013-04-21 22:24:26,2025-05-19 23:59:19,0.81,2,"1","12G1"
"2021-02","fd7b02175-538c-125e-7d04-399cdce31466","ITA","MARE BLU",2021-01-04 02:00:00,2021-12-30 15:00:00,"TRAWLERS","FISHING",247065080,NA,NA,2013-06-24 00:40:18,2024-08-16 10:02:30,24.39,2,"1","14G0"
"2021-02","b2a081b87-7dc2-5afe-e7ac-6f5cd261d9da","ITA","MONELLO",2021-01-05 07:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247044970,NA,"IWJJ",2014-07-30 06:52:49,2025-05-16 14:54:32,0.48,2,"1","17F9"
"2021-02","b2a081b87-7dc2-5afe-e7ac-6f5cd261d9da","ITA","MONELLO",2021-01-05 07:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247044970,NA,"IWJJ",2014-07-30 06:52:49,2025-05-16 14:54:32,8.01,2,"1","17F9"
"2021-01","898bfd541-1611-3e35-93d7-e1bfbe13d026","ITA","MP NUOVA LUCIA",2021-01-04 04:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247892860,NA,"IIJN",2019-12-13 15:03:32,2025-05-19 23:59:25,19.92,1,"1","12G2"
"2021-02","7485509a5-5caf-a8e8-9c6c-5fee55de0c70","ITA","SGIUSEPPE",2021-01-04 05:00:00,2021-12-30 12:00:00,"TRAWLERS","FISHING",247045180,NA,"IKDO",2014-05-29 04:02:34,2025-05-16 14:00:21,14.9,2,"1","17F9"
"2021-01","e5a924ae4-480e-17ab-721c-f0f5c7797b31","ITA","GIORGIA",2021-01-04 02:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247066190,NA,NA,2014-04-07 00:24:27,2025-05-19 14:56:32,3.41,1,"1","14G0"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,5.26,1,"1","13G0"
"2021-01","da807a497-716f-a219-77b0-a13a671d0dea","ITA","LEONE MARCO",2021-01-08 03:00:00,2021-12-30 14:00:00,"TRAWLERS","FISHING",247099830,NA,"IPLN",2013-04-25 02:01:19,2025-05-19 13:55:24,15.32,1,"1","13G1"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,13.58,1,"1","13G0"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,13.58,1,"1","14G0"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,3.76,1,"1","13G0"
"2021-01","e4d4ca9ba-ac5f-33b2-a3f4-ff20dc9631c9","ITA","LIDA ASSUNTA",2021-01-04 03:00:00,2021-12-30 12:00:00,"TRAWLERS","FISHING",247094280,NA,"IPJA",2013-05-30 04:56:24,2025-05-19 15:04:45,17.54,1,"1","12G1"
"2021-02","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.",2021-01-04 04:00:00,2021-12-29 13:00:00,"TRAWLERS","FISHING",247093030,NA,"IFUI",2013-05-19 10:19:32,2025-05-19 23:59:44,3.32,2,"1","12G1"
"2021-01","ec8d85e7d-d923-f0ca-7b0c-5075449c873c","ITA","JAZZ",2021-01-13 04:00:00,2021-12-30 18:00:00,"TRAWLERS","FISHING",247200190,NA,"IFHQ2",2018-08-06 02:28:14,2023-09-29 21:00:11,1,1,"1","17F9"
"2021-02","cbc4b4d47-74a5-f921-7fb8-1605aeec03f7","ITA","ANTONIO FRANCESCA M.",2021-01-04 04:00:00,2021-12-29 13:00:00,"TRAWLERS","FISHING",247093030,NA,"IFUI",2013-05-19 10:19:32,2025-05-19 23:59:44,3,2,"1","12G2"
"2021-02","55c6e9b13-3789-afdb-5a83-0f8c87d8f99e","ITA","FOLGORE",2021-01-04 05:00:00,2021-12-29 15:00:00,"TRAWLERS","FISHING",247132750,NA,"IVQJ",2013-05-18 08:19:38,2023-11-21 06:23:34,9.11,2,"1","13G0"
"2021-01","e4d4ca9ba-ac5f-33b2-a3f4-ff20dc9631c9","ITA","LIDA ASSUNTA",2021-01-04 03:00:00,2021-12-30 12:00:00,"TRAWLERS","FISHING",247094280,NA,"IPJA",2013-05-30 04:56:24,2025-05-19 15:04:45,4.87,1,"1","13G1"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,6.09,1,"1","14G0"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,1.38,1,"1","14G0"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,12.63,1,"1","14G0"
"2021-02","55c6e9b13-3789-afdb-5a83-0f8c87d8f99e","ITA","FOLGORE",2021-01-04 05:00:00,2021-12-29 15:00:00,"TRAWLERS","FISHING",247132750,NA,"IVQJ",2013-05-18 08:19:38,2023-11-21 06:23:34,1.91,2,"1","13G0"
"2021-01","e4d4ca9ba-ac5f-33b2-a3f4-ff20dc9631c9","ITA","LIDA ASSUNTA",2021-01-04 03:00:00,2021-12-30 12:00:00,"TRAWLERS","FISHING",247094280,NA,"IPJA",2013-05-30 04:56:24,2025-05-19 15:04:45,33.14,1,"1","13G1"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,2.98,1,"1","14G0"
"2021-02","55c6e9b13-3789-afdb-5a83-0f8c87d8f99e","ITA","FOLGORE",2021-01-04 05:00:00,2021-12-29 15:00:00,"TRAWLERS","FISHING",247132750,NA,"IVQJ",2013-05-18 08:19:38,2023-11-21 06:23:34,0.34,2,"1","13G0"
"2021-01","c16da52b2-2bac-3db1-c6cd-9cf3610a9d16","ITA","GINO",2021-01-04,2021-12-30 13:00:00,"TRAWLERS","FISHING",247150870,NA,"IORO",2013-10-01 14:22:49,2025-05-19 15:43:02,9.48,1,"1","13G0"
"2021-01","eb9daf877-749a-6f4a-1804-4d1dfcaaac94","ITA","STELLA ROSSA",2021-01-07 01:00:00,2021-12-30 13:00:00,"TRAWLERS","FISHING",247090850,NA,"IUCQ",2013-05-27 10:47:43,2024-01-24 07:55:38,4.48,1,"1","11G2"
