"id","vlength","fishday"
"1400:219:2","VL2440",165.504124879994
"1400:219:2","VL2440",165.504124879994
"1400:219:2","VL2440",165.504124879994
"1400:219:4","VL1824",12.7149912787187
"1400:219:4","VL1824",12.7149912787187
"1400:219:4","VL2440",219.030448896323
"1400:219:4","VL2440",219.030448896323
"1400:229:2","VL1824",568.793143016219
"1400:229:2","VL1824",568.793143016219
"1400:229:2","VL1824",568.793143016219
"1400:229:2","VL2440",1251.24281845442
"1400:229:2","VL2440",1251.24281845442
"1400:229:2","VL2440",1251.24281845442
"1400:229:4","VL1218",3626.29158102896
"1400:229:4","VL1218",3626.29158102896
"1400:229:4","VL1218",3626.29158102896
"1400:229:4","VL1824",5267.84853004374
"1400:229:4","VL1824",5267.84853004374
"1400:229:4","VL1824",5267.84853004374
"1400:229:4","VL2440",2184.18389676034
"1400:229:4","VL2440",2184.18389676034
"1400:229:4","VL2440",2184.18389676034
"1400:237:4","VL1218",44791.2502310754
"1400:237:4","VL1218",44791.2502310754
"1400:237:4","VL1824",29567.2803288932
"1400:237:4","VL1824",29567.2803288932
"1400:238:3","VL1824",10331.3439017282
"1400:238:3","VL1824",10331.3439017282
"1400:238:3","VL1824",10331.3439017282
"1400:239:2","VL1218",4510.97796988419
"1400:239:2","VL1218",4510.97796988419
"1400:239:2","VL1218",4510.97796988419
"1400:239:2","VL1824",7625.93871163092
"1400:239:2","VL1824",7625.93871163092
"1400:239:2","VL1824",7625.93871163092
"1400:239:3","VL1218",18887.7947234467
"1400:239:3","VL1218",18887.7947234467
"1400:239:3","VL1218",18887.7947234467
"1400:239:3","VL1824",1187.70414272098
"1400:239:3","VL1824",1187.70414272098
"1400:239:3","VL1824",1187.70414272098
"1400:239:3","VL2440",18.6578810265458
"1400:239:3","VL2440",18.6578810265458
"1400:239:3","VL2440",18.6578810265458
"1400:239:4","VL1218",67108.1289316604
"1400:239:4","VL1218",67108.1289316604
"1400:239:4","VL1218",67108.1289316604
"1400:239:4","VL1824",35916.2771288852
"1400:239:4","VL1824",35916.2771288852
"1400:239:4","VL1824",35916.2771288852
"1400:239:4","VL2440",55.2543626668918
"1400:239:4","VL2440",55.2543626668918
"1400:239:4","VL2440",55.2543626668918
"1400:248:1","VL1824",2601.89495407142
"1400:248:1","VL1824",2601.89495407142
"1400:248:1","VL1824",2601.89495407142
"1400:248:2","VL1218",8214.55209112593
"1400:248:2","VL1218",8214.55209112593
"1400:248:2","VL1218",8214.55209112593
"1400:248:2","VL1824",24287.8416237635
"1400:248:2","VL1824",24287.8416237635
"1400:248:2","VL1824",24287.8416237635
"1400:249:1","VL1218",648019.437827297
"1400:249:1","VL1218",648019.437827297
"1400:249:1","VL1218",648019.437827297
"1400:249:1","VL1824",24401.9019731839
"1400:249:1","VL1824",24401.9019731839
"1400:249:1","VL1824",24401.9019731839
"1400:249:1","VL2440",1.30336740257291
"1400:249:1","VL2440",1.30336740257291
"1400:249:1","VL2440",1.30336740257291
"1400:249:2","VL1218",132283.203615818
"1400:249:2","VL1218",132283.203615818
"1400:249:2","VL1218",132283.203615818
"1400:249:2","VL1824",6666.89797113793
"1400:249:2","VL1824",6666.89797113793
"1400:249:2","VL1824",6666.89797113793
"1400:249:2","VL2440",1.25574835497291
"1400:249:2","VL2440",1.25574835497291
"1400:249:2","VL2440",1.25574835497291
"1401:110:3","VL1824",94.8891504297843
"1401:110:3","VL1824",94.8891504297843
"1401:110:3","VL2440",782.407315221904
"1401:110:3","VL2440",782.407315221904
"1401:110:4","VL1218",381.907819491713
"1401:110:4","VL1218",381.907819491713
"1401:110:4","VL1218",381.907819491713
"1401:110:4","VL1824",387.178104730107
"1401:110:4","VL1824",387.178104730107
"1401:110:4","VL1824",387.178104730107
"1401:111:3","VL1218",2362.49867878547
"1401:111:3","VL1218",2362.49867878547
"1401:111:3","VL1218",2362.49867878547
"1401:111:3","VL1824",32698.0049663084
"1401:111:3","VL1824",32698.0049663084
"1401:111:3","VL1824",32698.0049663084
"1401:111:3","VL2440",1.35352336343645
"1401:111:3","VL2440",1.35352336343645
"1401:111:3","VL2440",1.35352336343645
"1401:111:4","VL1218",14871.9904084762
"1401:111:4","VL1218",14871.9904084762
"1401:111:4","VL1218",14871.9904084762
"1401:111:4","VL1824",1766203.92589309
"1401:111:4","VL1824",1766203.92589309
"1401:111:4","VL1824",1766203.92589309
"1401:111:4","VL2440",7904.24640990184
"1401:111:4","VL2440",7904.24640990184
"1401:111:4","VL2440",7904.24640990184
"1401:112:1","VL1218",10.0244920101823
"1401:112:1","VL1218",10.0244920101823
"1401:112:1","VL1218",10.0244920101823
"1401:112:1","VL1824",188631.605657325
"1401:112:1","VL1824",188631.605657325
"1401:112:1","VL1824",188631.605657325
"1401:112:1","VL2440",250.546537320367
"1401:112:1","VL2440",250.546537320367
"1401:112:1","VL2440",250.546537320367
"1401:112:2","VL1824",292617.234278864
"1401:112:2","VL1824",292617.234278864
"1401:112:2","VL1824",292617.234278864
"1401:112:2","VL2440",1896.74512586133
"1401:112:2","VL2440",1896.74512586133
"1401:112:2","VL2440",1896.74512586133
"1401:112:3","VL1218",18710.1426378823
"1401:112:3","VL1218",18710.1426378823
"1401:112:3","VL1218",18710.1426378823
"1401:112:3","VL1824",2579825.19954775
"1401:112:3","VL1824",2579825.19954775
"1401:112:3","VL1824",2579825.19954775
"1401:112:3","VL2440",174.77108553423
"1401:112:3","VL2440",174.77108553423
"1401:112:3","VL2440",174.77108553423
"1401:112:4","VL1824",4408.53982122432
"1401:112:4","VL1824",4408.53982122432
"1401:112:4","VL2440",1.76203757667291
"1401:112:4","VL2440",1.76203757667291
"1401:120:1","VL1218",2411.91698367719
"1401:120:1","VL1218",2411.91698367719
"1401:120:1","VL1218",2411.91698367719
"1401:120:1","VL1824",42717.2018924368
"1401:120:1","VL1824",42717.2018924368
"1401:120:1","VL1824",42717.2018924368
"1401:120:1","VL2440",3040.82481905565
"1401:120:1","VL2440",3040.82481905565
"1401:120:1","VL2440",3040.82481905565
"1401:120:2","VL1218",29789.2007694892
"1401:120:2","VL1218",29789.2007694892
"1401:120:2","VL1218",29789.2007694892
"1401:120:2","VL1824",534498.297545249
"1401:120:2","VL1824",534498.297545249
"1401:120:2","VL1824",534498.297545249
"1401:120:2","VL2440",14610.0947856831
"1401:120:2","VL2440",14610.0947856831
"1401:120:2","VL2440",14610.0947856831
"1401:120:3","VL1218",72959.4816239704
"1401:120:3","VL1218",72959.4816239704
"1401:120:3","VL1218",72959.4816239704
"1401:120:3","VL1824",12141.7451549571
"1401:120:3","VL1824",12141.7451549571
"1401:120:3","VL1824",12141.7451549571
"1401:120:3","VL2440",1783.03971555987
"1401:120:3","VL2440",1783.03971555987
"1401:120:3","VL2440",1783.03971555987
"1401:120:4","VL1218",150548.955713093
"1401:120:4","VL1218",150548.955713093
"1401:120:4","VL1218",150548.955713093
"1401:120:4","VL1824",428351.451134886
"1401:120:4","VL1824",428351.451134886
"1401:120:4","VL1824",428351.451134886
"1401:120:4","VL2440",4382.01368100102
"1401:120:4","VL2440",4382.01368100102
"1401:120:4","VL2440",4382.01368100102
"1401:121:1","VL1218",68002.790340258
"1401:121:1","VL1218",68002.790340258
"1401:121:1","VL1218",68002.790340258
"1401:121:1","VL1824",963451.882592073
"1401:121:1","VL1824",963451.882592073
"1401:121:1","VL1824",963451.882592073
"1401:121:1","VL2440",7802.42575045128
"1401:121:1","VL2440",7802.42575045128
"1401:121:1","VL2440",7802.42575045128
"1401:121:2","VL1824",462722.899003869
"1401:121:2","VL1824",462722.899003869
"1401:121:2","VL1824",462722.899003869
"1401:121:2","VL2440",11624.0849795
"1401:121:2","VL2440",11624.0849795
"1401:121:2","VL2440",11624.0849795
"1401:121:3","VL1218",1537.69632238334
"1401:121:3","VL1218",1537.69632238334
"1401:121:3","VL1218",1537.69632238334
"1401:121:3","VL1824",24423.81830815
"1401:121:3","VL1824",24423.81830815
"1401:121:3","VL1824",24423.81830815
"1401:121:3","VL2440",131.807855407147
"1401:121:3","VL2440",131.807855407147
"1401:121:3","VL2440",131.807855407147
"1401:130:1","VL1218",114445.098637089
"1401:130:1","VL1218",114445.098637089
"1401:130:1","VL1218",114445.098637089
"1401:130:1","VL1824",21819.1539897688
"1401:130:1","VL1824",21819.1539897688
"1401:130:1","VL1824",21819.1539897688
"1401:130:1","VL2440",14.3911571377291
"1401:130:1","VL2440",14.3911571377291
"1401:130:1","VL2440",14.3911571377291
"1401:130:2","VL1218",149.010096176859
"1401:130:2","VL1218",149.010096176859
"1401:130:2","VL1218",149.010096176859
"1401:130:2","VL1824",5.5792787570458
"1401:130:2","VL1824",5.5792787570458
"1401:130:2","VL1824",5.5792787570458
"1401:130:3","VL1218",19963.8903126011
"1401:130:3","VL1218",19963.8903126011
"1401:130:3","VL1218",19963.8903126011
"1401:130:3","VL1824",23811.9392740956
"1401:130:3","VL1824",23811.9392740956
"1401:130:3","VL1824",23811.9392740956
